Entry	Entry name	Protein names	Gene names  (primary )	Status
A0A1X3IAK5	A0A1X3IAK5_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
A0A1X3I0Y3	A0A1X3I0Y3_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
A0A1X3I988	A0A1X3I988_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
A0A1X3I8A0	A0A1X3I8A0_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
A0A1X3HXS9	A0A1X3HXS9_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
A0A1X3I2Q7	A0A1X3I2Q7_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
A0A1X3I693	A0A1X3I693_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
A0A1X3I7W6	A0A1X3I7W6_ECOLX	Multiple antibiotic resistance protein MarR		unreviewed
A0A1X3I682	A0A1X3I682_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
A0A1X3I6N2	A0A1X3I6N2_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
A0A1X3I6E0	A0A1X3I6E0_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
A0A1X3I0W3	A0A1X3I0W3_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
A0A1X3I7G7	A0A1X3I7G7_ECOLX	Multiple antibiotic resistance protein MarA		unreviewed
A0A1X3I8P3	A0A1X3I8P3_ECOLX	Macrolide export ATP-binding/permease protein MacB 1		unreviewed
